,BABY,BOOK,BOTTLE,CAT,DOG,HAND,SHOE,SPOON,words
0,0.34782608695652173,0.45454545454545453,0.5714285714285714,0.3076923076923077,0.38095238095238093,0.2,0.5,0.6,airplane
1,0.6666666666666666,0.47058823529411764,0.5,0.6666666666666666,0.875,0.26666666666666666,0.5333333333333333,0.5333333333333333,animal
2,0.36363636363636365,0.38095238095238093,0.4,0.32,0.4,0.25,0.42105263157894735,0.42105263157894735,apple
3,0.23529411764705882,0.21052631578947367,0.2222222222222222,0.17391304347826086,0.2222222222222222,0.7058823529411765,0.23529411764705882,0.23529411764705882,arm
4,0.5714285714285714,0.4,0.42105263157894735,0.5,0.631578947368421,0.26666666666666666,0.4444444444444444,0.4444444444444444,aunt
5,1.0,0.38095238095238093,0.4,0.48,0.6,0.25,0.42105263157894735,0.42105263157894735,baby
6,0.5454545454545454,0.38095238095238093,0.4,0.48,0.6,0.25,0.42105263157894735,0.42105263157894735,babysitter
7,0.3,0.3,0.3157894736842105,0.25,0.3157894736842105,0.2222222222222222,0.3333333333333333,0.3333333333333333,backyard
8,0.4,0.5263157894736842,0.6666666666666666,0.34782608695652173,0.4444444444444444,0.23529411764705882,0.5882352941176471,0.7058823529411765,ball
9,0.4444444444444444,0.5882352941176471,0.625,0.38095238095238093,0.5,0.26666666666666666,0.6666666666666666,0.6666666666666666,balloon
10,0.36363636363636365,0.38095238095238093,0.4,0.32,0.4,0.25,0.42105263157894735,0.42105263157894735,banana
11,0.1111111111111111,0.1,0.10526315789473684,0.08333333333333333,0.10526315789473684,0.1111111111111111,0.1111111111111111,0.1111111111111111,bath
12,0.4,0.5263157894736842,0.5555555555555556,0.34782608695652173,0.4444444444444444,0.23529411764705882,0.5882352941176471,0.5882352941176471,bathroom
13,0.4,0.5263157894736842,0.8888888888888888,0.34782608695652173,0.4444444444444444,0.23529411764705882,0.5882352941176471,0.8235294117647058,bathtub
14,0.4,0.4,0.42857142857142855,0.3157894736842105,0.42857142857142855,0.3076923076923077,0.46153846153846156,0.46153846153846156,beach
